Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
SB6,Enos Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 3,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-03,NA,NA
SB13,Paxton Lake Limnetic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 4,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-04,NA,NA
SB12,Paxton Lake Benthic Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,sp. 5,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-GASP-05,NA,NA
NSB,Ninespine Stickleback,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-PUPU,NNST,NA
GE,Goldeye,Actinopterygii,Hiodontiformes,Hiodontidae,Hiodon,alosoides,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-HIAL,GOLD,NA
SM,Smelt (General),Actinopterygii,Osmeriformes,Osmeridae,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA
SSM,Surf Smelt,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,pretiosus,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-HYPR,NA,NA
RSM,Rainbow Smelt,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,dentex,NA,mordax,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-OSDE,NA,NA
LSM,Longfin Smelt,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,thaleichthys,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-SPTH,NA,NA
PLS,Pygmy Longfin Smelt,Actinopterygii,Osmeriformes,Osmeridae,Spirincus,sp. 1,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-SPSP-01,NA,NA
EU,Eulachon,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pacificus,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-THPA,NA,NA
BS,Bass/Sunfish (General),Actinopterygii,Perciformes,Centrarchidae,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PMB,Pumpkinseed,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-LEGI,NA,NA
BG,Bluegill,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-LPMA,NA,NA
SMB,Smallmouth Bass,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieui,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-MIDO,SMBS,NA
LMB,Largemouth Bass,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-MISA,NA,NA
BCB,Black Crappie,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,F-PONI,NA,NA
