Species Code,Prov Status Change Date,COSEWIC Comments,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Element Code
F-BAPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCHF02020
F-BAEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Opisthoproctidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCHG02010
F-BACA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bathymasteridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCRY01010
F-BASI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bathymasteridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCRY01020
F-BAAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02080
F-BAAE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02010
F-BAIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02030
F-BAMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02140
F-BAPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02040
F-BATR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFDFD02060
