Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Classification Level,Name Category,Species Code,Element Code,Class (English),Kingdom,Phylum,Class,Order,Family,Ecosystem Group,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,BC List,Provincial FRPA,Prov Wildlife Act,COSEWIC,COSEWIC Comments,SARA,SARA Comments,General Status Canada,Migratory Bird Convention Act,GOERT,CITES,Land Use Objectives,Origin,Presence,Breeding Bird,Endemic,CDC Maps,Mapping Comment,BGC,ENV Regional Boundaries,Ecosections,Regional Districts,Municipalities,"Habitats
(Type / Subtype / Dependence)"
Salvelinus confluentus pop. 10,NA,Bull Trout - Western Arctic Populations,NA,Population,Vertebrate Animal,F-SACO-10,AFCHA05122,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5TNRQ,NA,S3,Apr-18,Apr-18,Blue,NA,NA,SC (Nov 2012),NA,1-SC (Aug 2019),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
Salvelinus confluentus pop. 12,NA,Bull Trout - Upper Yukon Watershed Populations,NA,Population,Vertebrate Animal,F-SACO-12,AFCHA05124,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5TNRQ,NA,SU,Apr-18,Apr-18,No Status,NA,NA,DD (Nov 2012),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
Salvelinus confluentus pop. 26,NA,Bull Trout - Pacific Populations,NA,Population,Vertebrate Animal,F-SACO-11,AFCHA0502N,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5T3Q,Sep-15,S3S4,Apr-18,Apr-18,Blue,NA,NA,NAR (Nov 2012),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvelinus confluentus pop. 28,Salvelinus confluentus pop. 6,Bull Trout - South Coast Population,NA,Population,Vertebrate Animal,F-SACO-06,AFCHA0502Q,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5T3Q,Sep-15,S2S3,Apr-18,Apr-18,Blue,NA,NA,SC (Nov 2012),NA,1-SC (Aug 2019),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,Y,NA,CDF; CWH; MH,1- Vancouver Island; 2- Lower Mainland; 3- Thompson; 5- Cariboo; 8- Okanagan,Central Chilcotin Ranges; Central Pacific Ranges; Eastern Pacific Ranges; Fraser Lowland; Georgia Lowland; Hecate Lowland; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Island Mountains; Leeward Pacific Ranges; Nanaimo Lowland; North Coast Fjords; Nicola Basin; Northern Island Mountains; Northern Pacific Ranges; Northwestern Cascade Ranges; Nahwitti Lowland; Okanagan Range; Outer Fjordland; Pavilion Ranges; Queen Charlotte Strait; Southern Chilcotin Ranges; Southern Gulf Islands; Strait of Georgia; Southern Pacific Ranges; Western Chilcotin Ranges,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cariboo Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Princeton; Lillooet; Squamish; Whistler; Pemberton; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Sayward; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,NA
Salvelinus fontinalis,NA,Brook Trout,NA,Species,Vertebrate Animal,F-SAFO,AFCHA05030,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5,Aug-15,SNA,May-19,Jan-03,Exotic,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Exotic,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Salvelinus malma,NA,Dolly Varden,NA,Species,Vertebrate Animal,F-SAMA,AFCHA05040,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5,Dec-17,S4,Jan-12,Jan-12,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Salvelinus malma - northern lineage,Salvelinus malma pop. 2,Dolly Varden - Northern Lineage,NA,Population,Vertebrate Animal,F-SAMA-02,AFCHA05042,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5T4T5Q,Aug-11,S4S5,Jan-12,Jan-12,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,N,NA,NA,NA,NA,NA,NA,NA
Salvelinus malma - southern lineage,Salvelinus malma pop. 1,Dolly Varden - Southern Lineage,NA,Population,Vertebrate Animal,F-SAMA-01,AFCHA05041,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5TNRQ,NA,S4,Jan-12,Jan-12,Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,Y,N,NA,NA,NA,NA,NA,NA,NA
Salvelinus namaycush,NA,Lake Trout,NA,Species,Vertebrate Animal,F-SANA,AFCHA05050,ray-finned fishes,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,NA,G5,Aug-15,S4,May-19,Nov-00,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sander vitreus,Stizostedion vitreum,Walleye,NA,Species,Vertebrate Animal,F-SAVI,AFCQC05020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Percidae,NA,G5,Aug-15,S4S5,May-19,Jan-12,Yellow,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sarda chiliensis,NA,Pacific Bonito,NA,Species,Vertebrate Animal,F-SACH,AFCS306010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Scombridae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sardinops sagax,NA,Pacific Sardine,NA,Species,Vertebrate Animal,F-SASG,AFCFA10010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NAR (May 2002),NA,3,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Scomber japonicus,NA,Pacific Chub Mackerel,NA,Species,Vertebrate Animal,F-SCJA,AFCS307010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Scombridae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Scopelogadus mizolepis,NA,Flabby Ridgehead,NA,Species,Vertebrate Animal,F-SCMI,AFC9C03010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Stephanoberyciformes,Melamphaidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Scopelosaurus harryi,NA,Scaly Waryfish,NA,Species,Vertebrate Animal,F-SCHA,AFC8H01010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Aulopiformes,Notosudidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Scorpaenichthys marmoratus,NA,Cabezon,NA,Species,Vertebrate Animal,F-SCMA,AFC4E13010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Scytalina cerdale,NA,Graveldiver,NA,Species,Vertebrate Animal,F-SCCE,AFCSG01010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Scytalinidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes aleutianus,NA,Rougheye Rockfish,NA,Species,Vertebrate Animal,F-SEAL,AFC4A06010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,SC (Apr 2007),NA,1-SC (Mar 2009),Type 1 and Type 2,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes alutus,NA,Pacific Ocean Perch,NA,Species,Vertebrate Animal,F-SEAT,AFC4A06020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes auriculatus,NA,Brown Rockfish,NA,Species,Vertebrate Animal,F-SEAU,AFC4A06040,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes aurora,NA,Aurora Rockfish,NA,Species,Vertebrate Animal,F-SEAR,AFC4A06050,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes babcocki,NA,Redbanded Rockfish,NA,Species,Vertebrate Animal,F-SEBA,AFC4A06060,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes borealis,NA,Shortraker Rockfish,NA,Species,Vertebrate Animal,F-SEBO,AFC4A06070,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes brevispinis,NA,Silvergray Rockfish,NA,Species,Vertebrate Animal,F-SEBR,AFC4A06080,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes caurinus,NA,Copper Rockfish,NA,Species,Vertebrate Animal,F-SECA,AFC4A06100,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes chlorostictus,NA,Greenspotted Rockfish,NA,Species,Vertebrate Animal,F-SECH,AFC4A06110,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes ciliatus,NA,Dark Rockfish,NA,Species,Vertebrate Animal,F-SECI,AFC4A06130,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes crameri,NA,Darkblotched Rockfish,NA,Species,Vertebrate Animal,F-SECR,AFC4A06150,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,SC (Nov 2009),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes diaconus,Sebastes mystinus,Deacon Rockfish,Blue Rockfish,Species,Vertebrate Animal,F-SEMY,AFC4A06720,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes diploproa,NA,Splitnose Rockfish,NA,Species,Vertebrate Animal,F-SEDI,AFC4A06170,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes elongatus,NA,Greenstriped Rockfish,NA,Species,Vertebrate Animal,F-SEEL,AFC4A06180,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes emphaeus,NA,Puget Sound Rockfish,NA,Species,Vertebrate Animal,F-SEEM,AFC4A06190,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes entomelas,NA,Widow Rockfish,NA,Species,Vertebrate Animal,F-SEEN,AFC4A06210,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes flavidus,NA,Yellowtail Rockfish,NA,Species,Vertebrate Animal,F-SEFL,AFC4A06240,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes goodei,NA,Chilipepper,NA,Species,Vertebrate Animal,F-SEGO,AFC4A06260,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes helvomaculatus,NA,Rosethorn Rockfish,NA,Species,Vertebrate Animal,F-SEHE,AFC4A06270,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes jordani,NA,Shortbelly Rockfish,NA,Species,Vertebrate Animal,F-SEJO,AFC4A06290,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes maliger,NA,Quillback Rockfish,NA,Species,Vertebrate Animal,F-SEMA,AFC4A06330,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,T (Nov 2009),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes melanops,NA,Black Rockfish,NA,Species,Vertebrate Animal,F-SEME,AFC4A06350,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes melanostomus,NA,Blackgill Rockfish,NA,Species,Vertebrate Animal,F-SEML,AFC4A06370,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes miniatus,NA,Vermilion Rockfish,NA,Species,Vertebrate Animal,F-SEMI,AFC4A06390,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes nebulosus,NA,China Rockfish,NA,Species,Vertebrate Animal,F-SENE,AFC4A06410,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes nigrocinctus,NA,Tiger Rockfish,NA,Species,Vertebrate Animal,F-SENI,AFC4A06420,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes paucispinis,NA,Bocaccio,NA,Species,Vertebrate Animal,F-SEPA,AFC4A06440,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,G4,Jul-03,SNR,Dec-02,Dec-02,Not Reviewed,NA,NA,E (Nov 2013),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes pinniger,NA,Canary Rockfish,NA,Species,Vertebrate Animal,F-SEPI,AFC4A06460,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,T (Nov 2007),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes polyspinis,NA,Northern Rockfish,NA,Species,Vertebrate Animal,F-SEPL,AFC4A06470,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes proriger,NA,Redstripe Rockfish,NA,Species,Vertebrate Animal,F-SEPR,AFC4A06480,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,G5,Dec-17,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes reedi,NA,Yellowmouth Rockfish,NA,Species,Vertebrate Animal,F-SERE,AFC4A06500,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,T (Apr 2010),NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes ruberrimus,NA,Yelloweye Rockfish,NA,Species,Vertebrate Animal,F-SERU,AFC4A06530,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,T (Nov 2020),Pacific Ocean outside waters and inside waters populations.,1-SC,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes rufus,NA,Bank Rockfish,NA,Species,Vertebrate Animal,F-SERF,AFC4A06560,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes saxicola,NA,Stripetail Rockfish,NA,Species,Vertebrate Animal,F-SESA,AFC4A06570,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes variabilis,NA,Dusky Rockfish,NA,Species,Vertebrate Animal,F-SEVR,AFC4A06700,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes variegatus,NA,Harlequin Rockfish,NA,Species,Vertebrate Animal,F-SEVA,AFC4A06630,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes wilsoni,NA,Pygmy Rockfish,NA,Species,Vertebrate Animal,F-SEWI,AFC4A06640,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastes zacentrus,NA,Sharpchin Rockfish,NA,Species,Vertebrate Animal,F-SEZA,AFC4A06650,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastolobus alascanus,NA,Shortspine Thornyhead,NA,Species,Vertebrate Animal,F-SEAS,AFC4A07010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Sebastolobus altivelis,NA,Longspine Thornyhead,NA,Species,Vertebrate Animal,F-SEAI,AFC4A07020,ray-finned fishes,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Scorpaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,SC (Apr 2007),NA,1-SC (Mar 2009),NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Seriola lalandi,NA,Yellowtail,NA,Species,Vertebrate Animal,F-SELA,AFCQZ11040,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Carangidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Seriphus politus,NA,Queenfish,NA,Species,Vertebrate Animal,F-SEPO,AFCQH16010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Perciformes,Sciaenidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Serrivomer jesperseni,NA,Crossthroat Sawpalate,NA,Species,Vertebrate Animal,F-SEJE,AFCEK01010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Anguilliformes,Serrivomeridae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Somniosus pacificus,NA,Pacific Sleeper Shark,NA,Species,Vertebrate Animal,F-SOPA,AFDEA06020,cartilaginous fishes,Animalia,Craniata,Chondrichthyes,Squaliformes,Somniosidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
Spectrunculus grandis,NA,Giant Cusk-eel,NA,Species,Vertebrate Animal,F-SPGR,AFCMD08010,ray-finned fishes,Animalia,Craniata,Actinopterygii,Ophidiiformes,Ophidiidae,NA,GNR,NA,SNR,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,N,N,NA,NA,NA,NA,NA,NA,NA
