Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Bothrocara molle,,Soft Eelpout,,F-BOMO,AFCS802030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bothrocara pusillum,,Alaska Eelpout,,F-BOPU,AFCMG02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Brachyistius frenatus,,Kelp Perch,,F-BRFR,AFCQK04010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Brama japonica,,Pacific Pomfret,,F-BRJA,AFCRH01040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Bramidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Brosmophycis marginata,,Red Brotula,,F-BRMA,AFCME01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Ophidiiformes,Bythitidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Bryozoichthys marjorius,,Pearly Prickleback,,F-BRMR,AFCSC06020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Carassius auratus,,Goldfish,,F-CAAU,AFCJB04010,G5,13-Sep-96,SNA,15-May-19,20-Jan-03, , ,Exotic, ,, ,,,,,,7 - Exotic (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae, ,1;2;3;4;7;8, , ,BG;CDF;CWH;IDF;SBS,,Exotic,Regularly occurring,, ,N,N,
Carcharodon carcharias,,White Shark,,F-CACA,AFDDE01010,G2,30-Jun-14,SNR,,,DD (Apr 2006), ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Lamnidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Careproctus cypselurus,,Falcate Snailfish,,F-CACY,AFC4G09150,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Careproctus gilberti,,Longfin Snailfish,,F-CAGI,AFC4G09070,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Careproctus melanurus,,Blacktail Snailfish,,F-CAME,AFC4G09020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Careproctus oregonensis,,Smallfin Snailfish,,F-CAOR,AFC4G09120,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Careproctus ovigerum,,Abyssal Snailfish,,F-CAOV,AFC4G09130,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Caristius macropus,,Manefish,,F-CAMC,AFCQ101010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Caristiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Catostomus catostomus,,Longnose Sucker,,F-CACT,AFCJC02030,G5,17-Aug-15,S5,15-May-19,31-Jan-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae, ,2;3;4;5;6;7;8;9, , ,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Catostomus columbianus,,Bridgelip Sucker,,F-CACO,AFCJC02050,G5,09-Feb-16,S5,15-May-19,20-Jan-03, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae, ,2;3;4;5;6;7;8, , ,BG;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS,,Native,Regularly occurring,, ,N,N,
Catostomus commersonii,,White Sucker,,F-CACM,AFCJC02060,G5,17-Aug-15,S5,15-May-19,31-Jan-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae, ,3;5;6;7;9, , ,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Catostomus macrocheilus,,Largescale Sucker,,F-CAMA,AFCJC02130,G5,10-May-16,S5,15-May-19,31-Jan-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae, ,2;3;4;5;6;7;8;9, , ,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Catostomus platyrhynchus,,Mountain Sucker,,F-CAPL,AFCJC02160,G5,09-Feb-16,S3?,15-May-19,15-May-19,SC (Nov 2010), ,Blue, ,, ,,,,1-SC (May 2017),,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,DAB;DCK;DCO;DCS;DKA;DOS,2;3;4;8,CKRD;TNRD;OSRD;FVRD,Hope;Kent;Mission;Chilliwack;Abbotsford;Kamloops;Princeton;Keremeos,BG;CWH;IDF;PP,,Native,Regularly occurring,, ,N,Y,
Catostomus sp. 4,,Salish Sucker,,F-CASP-04,AFCJC02260,G1,22-Jun-11,S2,15-May-19,15-May-19,T (Nov 2012), ,Red, ,, ,,,,1-E (Jan 2005),,1 - At Risk (2000),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Catostomidae,DCK,2,MVRD;FVRD,Hope;Harrison Hot Springs;Kent;Mission;Pitt Meadows;Chilliwack;Langley (District);Abbotsford;Surrey;Maple Ridge,CWH,,Native,Regularly occurring,, ,N,Y,
Caulolatilus princeps,,Ocean Whitefish,,F-CAPR,AFCRE01050,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Malacanthidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ceratias holboelli,,Deepsea Angler,,F-CEHO,AFCYE02010,G5,26-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Lophiiformes,Ceratiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ceratoscopelus townsendi,,Dogtooth Lanternfish,,F-CETO,AFCVH01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cetorhinus maximus,,Basking Shark,,F-CEMA,AFDDD01010,G2G3,30-Jun-14,SNR,,,E (May 2018), ,No Status, ,, ,,,,1-E (Feb 2010),, ,II,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Cetorhinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chaenophryne melanorhabdus,,Smooth Dreamer,,F-CHME,AFCYH01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Lophiiformes,Oneirodidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chauliodus macouni,,Pacific Viperfish,,F-CHMA,AFC7B01010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Stomiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chesnonia verrucosa,,Warty Poacher,,F-CHVE,AFC4F09030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chirolophis decoratus,,Decorated Warbonnet,,F-CHDE,AFCSC08020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chirolophis nugator,,Mosshead Warbonnet,,F-CHNU,AFCSC08030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chirolophis tarsodes,,Matcheek Warbonnet,,F-CHTA,AFCSC08040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chitonotus pugetensis,,Roughback Sculpin,,F-CHPU,AFC4E27010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Chrosomus eos,Phoxinus eos,Northern Redbelly Dace,,F-CHEO,AFCJB31020,G5,17-Aug-15,S4,15-Mar-19,16-May-19, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN;DPC,9,PRRD;NRRD,Northern Rockies;Taylor;Chetwynd;Hudsons Hope;Fort St. John;Tumbler Ridge,BWBS;CWH;ICH;IDF;MS;SBPS;SBS,,Native,Regularly occurring,, ,N,Y,
Chrosomus eos x Chrosomus neogaeus,Phoxinus eos x Phoxinus neogaeus,Northern Redbelly Dace X Finescale Dace,,F-CHEOxCHNE,AFCJB31X10,GNA,18-Oct-02,S2,15-May-19,15-May-19, , ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN;DPC,9,PRRD;NRRD,Northern Rockies;Taylor;Hudsons Hope;Fort St. John;Tumbler Ridge,BWBS,,Native,Regularly occurring,, ,N,N,
Chrosomus neogaeus,Phoxinus neogaeus,Finescale Dace,,F-CHNE,AFCJB31040,G5,10-May-16,S4S5,15-May-19,15-May-19, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae, ,9, , ,BWBS;ESSF;SBS,,Native,Regularly occurring,, ,N,N,
Citharichthys sordidus,,Pacific Sanddab,,F-CISO,AFCTA01080,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Paralichthyidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Citharichthys stigmaeus,,Speckled Sanddab,,F-CIST,AFCTA01090,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Paralichthyidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clevelandia ios,,Arrow Goby,,F-CLIO,AFCQN03010,G5,25-Sep-96,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Gobiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clidoderma asperrimum,,Roughscale Sole,,F-CLAS,AFCTB23010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clinocottus acuticeps,,Sharpnose Sculpin,,F-CLAC,AFC4E01010,G5,08-Jan-97,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clinocottus embryum,,Calico Sculpin,,F-CLEM,AFC4E01030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clinocottus globiceps,,Mosshead Sculpin,,F-CLGL,AFC4E01040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Clupea pallasii,,Pacific Herring,,F-CLPA,AFCFA07030,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cololabis saira,,Pacific Saury,,F-COSA,AFCNF01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Beloniformes,Scomberesocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coregonus artedi,,Cisco,,F-COAR,AFCHA01020,G5,17-Aug-15,S2,15-Mar-19,10-May-10, , ,Red, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN,9,NRRD,Northern Rockies,BWBS,,Native,Regularly occurring,, ,N,Y,
Coregonus autumnalis,,Arctic Cisco,,F-COAU,AFCHA01030,G5,04-Nov-11,S1S2,15-May-19,10-May-10, , ,Red, ,, ,,,,,,3 - Sensitive (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN,9,NRRD,Northern Rockies,BWBS,,Native,Regularly occurring,, ,N,Y,
Coregonus clupeaformis,,Lake Whitefish,,F-COCL,AFCHA01040,G5,17-Aug-15,S5,15-May-19,20-Jan-03, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae, ,2;3;4;5;6;7;8;9, , ,BG;BWBS;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Coregonus nasus,,Broad Whitefish,,F-CONA,AFCHA01090,G5,02-Aug-16,S2,15-May-19,15-May-19, , ,Red, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DSS_C,6,SKRD, ,BWBS,,Native,Regularly occurring,, ,N,Y,
Coregonus sardinella,,Least Cisco,,F-COSR,AFCHA01130,G5,27-Dec-17,S3,15-Mar-19,10-May-10, , ,Blue, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Salmoniformes,Salmonidae,DFN;DKA;DKM;DSS_C,6;9,SKRD;NRRD,Northern Rockies,BWBS,,Native,Regularly occurring,, ,N,Y,
Coryphaenoides acrolepis,,Roughscale Grenadier,,F-COAC,AFCMC06010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coryphaenoides armatus,,Russet Grenadier,,F-COAM,AFCMC06020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coryphaenoides cinereus,,Popeye,,F-COCI,AFCMC06030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coryphaenoides filifer,,Filamented Rattail,,F-COFI,AFCMC06040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coryphaenoides leptolepis,,Ghostly Grenadier,,F-COLE,AFCMC06050,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Coryphaenoides yaquinae,,Rough Abyssal Grendier,,F-COYA,AFCMC06080,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cottus aleuticus,,Coastrange Sculpin,,F-COAL,AFC4E02010,G5,22-Sep-15,S5,15-May-19,11-May-10, , ,Yellow, ,, ,,,,,Cottus ssp. 2 (Cultus  Pygmy Sculpin),4 - Secure (2003),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, ,1;2;3;5;6, , ,BWBS;CDF;CWH;ESSF;ICH;IDF;IMA;MH;SBS,,Native,Regularly occurring,, ,N,N,
Cottus aleuticus pop. 1,Cottus aleuticus;Cottus sp. 2,Cultus Pygmy Sculpin,Cultus Lake Sculpin;Cultus Pygmy Sculpin,F-COSP-02,AFC4E02270,G1G2,11-May-10,S1S2,15-May-19,11-May-10,T (Apr 2010), ,Red, ,, ,,,,1-T (Jun 2003),,1 - At Risk (2000),,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DCK,2,FVRD, ,CWH,,Native,Regularly occurring,, ,Y,Y,
Cottus asper,,Prickly Sculpin,,F-COAS,AFC4E02020,G5,22-Sep-15,S5,15-May-19,31-Jan-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, ,1;2;3;4;5;6;7;8;9, , ,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Cottus cognatus,,Slimy Sculpin,,F-COCO,AFC4E02080,G5,17-Aug-15,S5,15-May-19,11-May-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, ,2;3;4;5;6;7;8;9, , ,BAFA;BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Cottus confusus,,Shorthead Sculpin,,F-COCN,AFC4E02090,G5,09-Nov-11,S3,15-May-19,15-May-19,SC (Nov 2010), ,Blue, ,, ,,,,1-SC,,1 - At Risk (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DAB;DCO,4;8,CKRD;KBRD,Castlegar;Slocan;Trail;Montrose,ICH;IDF,,Native,Regularly occurring,, ,N,Y,
Cottus hubbsi,Cottus bairdi hubbsi,Columbia Sculpin,,F-COHU,AFC4E02053,G4Q,09-Nov-11,S3,15-May-19,09-May-01,SC (Nov 2010), ,Blue, ,, ,,,,1-SC (Jun 2003),,3 - Sensitive (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DAB;DCS;DKL;DOS,3;4;8,CKRD;TNRD;CORD;KBRD;OSRD,Castlegar;Slocan;Fruitvale;Princeton;Trail;Rossland;Montrose;Keremeos,BG;ICH;IDF;PP,,Native,Regularly occurring,, ,N,Y,
Cottus rhotheus,,Torrent Sculpin,,F-CORH,AFC4E02220,G5,09-Feb-16,S4S5,15-May-19,15-May-19, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, ,3;4;8, , ,BG;ESSF;ICH;IDF;MS;PP,,Native,Regularly occurring,, ,N,N,
Cottus ricei,,Spoonhead Sculpin,,F-CORI,AFC4E02230,G5,17-Aug-15,S4,15-May-19,20-Jan-03,NAR (May 1989), ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, ,9, , ,BWBS;IDF;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Cottus sp. 9,,Rocky Mountain Sculpin,,F-COSP-04,AFC4E02380,G3G4,20-Jan-09,S2,15-May-19,15-May-19,SC (Apr 2010), ,Red, ,, ,,,,1-SC (May 2017),,4 - Secure (2000),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,DRM,4,EKRD, , ,,Native,Regularly occurring,, ,N,Y,
Couesius plumbeus,,Lake Chub,,F-COPL,AFCJB06010,G5,17-Aug-15,S5,15-May-19,31-Jan-92,DD,Northern British Columbia Hotsprings population only.,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae, ,2;3;4;5;6;7;8;9, , ,BG;BWBS;CDF;CWH;ESSF;ICH;IDF;MH;MS;PP;SBPS;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Couesius plumbeus pop. 2,Couesius plumbeus pop. 1,Lake Chub - Liard Hot Springs Populations,Lake Chub - Hotsprings Ecotype,F-COPL-02,AFCJB06012,G5TNR,,S1S2,15-May-19,15-May-19,T (Dec 2018), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DFN,9, , ,BWBS,,Native,Regularly occurring,, ,Y,Y,
Couesius plumbeus pop. 3,Couesius plumbeus pop. 1,Lake Chub - Atlin Warm Springs Populations,Lake Chub - Hotsprings Ecotype,F-COPL-03,AFCJB06013,G5TNR,,S1,15-May-19,15-May-19,T (Dec 2018), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DSS,6,SKRD, ,BWBS;SWB,,Native,Regularly occurring,, ,Y, ,
Cryptacanthodes aleutensis,,Dwarf Wrymouth,,F-CRAL,AFCSF01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cryptacanthodes giganteus,,Giant Wrymouth,,F-CRGI,AFCSF01030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Cryptacanthodidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Culaea inconstans,,Brook Stickleback,,F-CUIN,AFCPA02010,G5,17-Aug-15,S5,30-Mar-18,04-Nov-00, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae, ,9, , ,BWBS;CWH;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Cyclothone atraria,,Yellow Bristlemouth,,F-CYAT,AFC7A01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cyclothone pallida,,Tan Bristlemouth,,F-CYPA,AFC7A01030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cyclothone pseudopallida,,Slender Bristlemouth,,F-CYPS,AFC7A01040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cyclothone signata,,Showy Bristlemouth,,F-CYSI,AFC7A01050,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Gonostomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Cymatogaster aggregata,,Shiner Perch,,F-CYAG,AFCQK01010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
